Target ID,Algorithm,Dataset size,Metric,Value,trial,Approach
333,1-NN,431,R2,0.9999855585122391,7,Unbalanced
333,1-NN,431,RMSE,0.004914586019466081,7,Unbalanced
333,1-NN,431,r,0.9999927993971911,7,Unbalanced
333,kNN,431,MAE,0.45071331864547287,7,Unbalanced
333,kNN,431,MSE,0.3849762917640024,7,Unbalanced
333,kNN,431,R2,0.7698176393605849,7,Unbalanced
333,kNN,431,RMSE,0.6204645773644152,7,Unbalanced
333,kNN,431,r,0.8783689815115355,7,Unbalanced
333,SVR,431,MAE,0.09625265428946332,7,Unbalanced
333,SVR,431,MSE,0.011182334153587421,7,Unbalanced
333,SVR,431,R2,0.9933139361358143,7,Unbalanced
333,SVR,431,RMSE,0.10574655622566355,7,Unbalanced
333,SVR,431,r,0.9975976180332249,7,Unbalanced
333,RFR,431,MAE,0.24647603622197276,7,Unbalanced
333,RFR,431,MSE,0.09826634666101595,7,Unbalanced
333,RFR,431,R2,0.9412452659300128,7,Unbalanced
333,RFR,431,RMSE,0.31347463479684595,7,Unbalanced
333,RFR,431,r,0.9817413630281433,7,Unbalanced
333,MR,431,MAE,1.1057385411731702,7,Unbalanced
333,MR,431,MSE,1.6785635682259605,7,Unbalanced
333,MR,431,R2,-0.0036351143784900675,7,Unbalanced
333,MR,431,RMSE,1.2955939055992662,7,Unbalanced
333,1-NN,431,MAE,0.002278377388377294,8,Unbalanced
333,1-NN,431,MSE,0.0009268461380394555,8,Unbalanced
333,1-NN,431,R2,0.9994889336561552,8,Unbalanced
333,1-NN,431,RMSE,0.030444147845513025,8,Unbalanced
333,1-NN,431,r,0.9997451125595701,8,Unbalanced
333,kNN,431,MAE,0.4591257165102671,8,Unbalanced
333,kNN,431,MSE,0.4200368396448538,8,Unbalanced
333,kNN,431,R2,0.7683901533306552,8,Unbalanced
333,kNN,431,RMSE,0.6481024916206184,8,Unbalanced
333,kNN,431,r,0.877345321209026,8,Unbalanced
