,model,trial,Target ID,Training size,n_neighbors,metric,C,kernel,n_estimators,max_features,min_samples_split,min_samples_leaf,strategy
717,SVR,5,CHEMBL203,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
718,RFR,5,CHEMBL203,330,,,,,200.0,sqrt,3.0,1.0,
719,MR,5,CHEMBL203,330,,,,,,,,,median
720,1-NN,6,CHEMBL203,6,1.0,jaccard,,,,,,,
721,kNN,6,CHEMBL203,6,3.0,jaccard,,,,,,,
722,SVR,6,CHEMBL203,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
723,RFR,6,CHEMBL203,6,,,,,50.0,sqrt,2.0,1.0,
724,MR,6,CHEMBL203,6,,,,,,,,,median
725,1-NN,6,CHEMBL203,12,1.0,jaccard,,,,,,,
726,kNN,6,CHEMBL203,12,3.0,jaccard,,,,,,,
727,SVR,6,CHEMBL203,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
728,RFR,6,CHEMBL203,12,,,,,50.0,log2,2.0,1.0,
729,MR,6,CHEMBL203,12,,,,,,,,,median
730,1-NN,6,CHEMBL203,18,1.0,jaccard,,,,,,,
731,kNN,6,CHEMBL203,18,3.0,jaccard,,,,,,,
732,SVR,6,CHEMBL203,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
733,RFR,6,CHEMBL203,18,,,,,100.0,sqrt,2.0,1.0,
734,MR,6,CHEMBL203,18,,,,,,,,,median
735,1-NN,6,CHEMBL203,30,1.0,jaccard,,,,,,,
736,kNN,6,CHEMBL203,30,3.0,jaccard,,,,,,,
737,SVR,6,CHEMBL203,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
738,RFR,6,CHEMBL203,30,,,,,200.0,sqrt,2.0,10.0,
739,MR,6,CHEMBL203,30,,,,,,,,,median
740,1-NN,6,CHEMBL203,48,1.0,jaccard,,,,,,,
741,kNN,6,CHEMBL203,48,3.0,jaccard,,,,,,,
742,SVR,6,CHEMBL203,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
743,RFR,6,CHEMBL203,48,,,,,200.0,log2,2.0,1.0,
744,MR,6,CHEMBL203,48,,,,,,,,,median
745,1-NN,6,CHEMBL203,78,1.0,jaccard,,,,,,,
746,kNN,6,CHEMBL203,78,3.0,jaccard,,,,,,,
747,SVR,6,CHEMBL203,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
748,RFR,6,CHEMBL203,78,,,,,100.0,log2,2.0,1.0,
749,MR,6,CHEMBL203,78,,,,,,,,,median
750,1-NN,6,CHEMBL203,126,1.0,jaccard,,,,,,,
751,kNN,6,CHEMBL203,126,3.0,jaccard,,,,,,,
752,SVR,6,CHEMBL203,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
753,RFR,6,CHEMBL203,126,,,,,100.0,sqrt,2.0,1.0,
754,MR,6,CHEMBL203,126,,,,,,,,,median
755,1-NN,6,CHEMBL203,204,1.0,jaccard,,,,,,,
756,kNN,6,CHEMBL203,204,3.0,jaccard,,,,,,,
757,SVR,6,CHEMBL203,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
758,RFR,6,CHEMBL203,204,,,,,200.0,sqrt,2.0,1.0,
759,MR,6,CHEMBL203,204,,,,,,,,,median
760,1-NN,6,CHEMBL203,330,1.0,jaccard,,,,,,,
761,kNN,6,CHEMBL203,330,3.0,jaccard,,,,,,,
762,SVR,6,CHEMBL203,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
763,RFR,6,CHEMBL203,330,,,,,200.0,sqrt,2.0,1.0,
764,MR,6,CHEMBL203,330,,,,,,,,,median
765,1-NN,7,CHEMBL203,6,1.0,jaccard,,,,,,,
766,kNN,7,CHEMBL203,6,3.0,jaccard,,,,,,,
767,SVR,7,CHEMBL203,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
768,RFR,7,CHEMBL203,6,,,,,50.0,sqrt,2.0,1.0,
769,MR,7,CHEMBL203,6,,,,,,,,,median
770,1-NN,7,CHEMBL203,12,1.0,jaccard,,,,,,,
771,kNN,7,CHEMBL203,12,3.0,jaccard,,,,,,,
772,SVR,7,CHEMBL203,12,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
773,RFR,7,CHEMBL203,12,,,,,50.0,log2,5.0,1.0,
774,MR,7,CHEMBL203,12,,,,,,,,,median
775,1-NN,7,CHEMBL203,18,1.0,jaccard,,,,,,,
776,kNN,7,CHEMBL203,18,3.0,jaccard,,,,,,,
777,SVR,7,CHEMBL203,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
778,RFR,7,CHEMBL203,18,,,,,50.0,sqrt,3.0,1.0,
779,MR,7,CHEMBL203,18,,,,,,,,,median
780,1-NN,7,CHEMBL203,30,1.0,jaccard,,,,,,,
781,kNN,7,CHEMBL203,30,3.0,jaccard,,,,,,,
782,SVR,7,CHEMBL203,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
783,RFR,7,CHEMBL203,30,,,,,50.0,sqrt,3.0,1.0,
784,MR,7,CHEMBL203,30,,,,,,,,,median
785,1-NN,7,CHEMBL203,48,1.0,jaccard,,,,,,,
786,kNN,7,CHEMBL203,48,3.0,jaccard,,,,,,,
787,SVR,7,CHEMBL203,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
788,RFR,7,CHEMBL203,48,,,,,200.0,sqrt,5.0,1.0,
789,MR,7,CHEMBL203,48,,,,,,,,,median
790,1-NN,7,CHEMBL203,78,1.0,jaccard,,,,,,,
791,kNN,7,CHEMBL203,78,3.0,jaccard,,,,,,,
792,SVR,7,CHEMBL203,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
793,RFR,7,CHEMBL203,78,,,,,50.0,sqrt,2.0,1.0,
794,MR,7,CHEMBL203,78,,,,,,,,,median
795,1-NN,7,CHEMBL203,126,1.0,jaccard,,,,,,,
796,kNN,7,CHEMBL203,126,3.0,jaccard,,,,,,,
797,SVR,7,CHEMBL203,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
798,RFR,7,CHEMBL203,126,,,,,200.0,sqrt,2.0,1.0,
799,MR,7,CHEMBL203,126,,,,,,,,,median
800,1-NN,7,CHEMBL203,204,1.0,jaccard,,,,,,,
801,kNN,7,CHEMBL203,204,3.0,jaccard,,,,,,,
802,SVR,7,CHEMBL203,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
803,RFR,7,CHEMBL203,204,,,,,100.0,sqrt,3.0,1.0,
804,MR,7,CHEMBL203,204,,,,,,,,,median
805,1-NN,7,CHEMBL203,330,1.0,jaccard,,,,,,,
806,kNN,7,CHEMBL203,330,3.0,jaccard,,,,,,,
807,SVR,7,CHEMBL203,330,,,10000.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
808,RFR,7,CHEMBL203,330,,,,,50.0,sqrt,2.0,1.0,
809,MR,7,CHEMBL203,330,,,,,,,,,median
810,1-NN,8,CHEMBL203,6,1.0,jaccard,,,,,,,
811,kNN,8,CHEMBL203,6,3.0,jaccard,,,,,,,
812,SVR,8,CHEMBL203,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
813,RFR,8,CHEMBL203,6,,,,,50.0,sqrt,2.0,1.0,
814,MR,8,CHEMBL203,6,,,,,,,,,median
815,1-NN,8,CHEMBL203,12,1.0,jaccard,,,,,,,
816,kNN,8,CHEMBL203,12,3.0,jaccard,,,,,,,
817,SVR,8,CHEMBL203,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
818,RFR,8,CHEMBL203,12,,,,,50.0,log2,3.0,1.0,
819,MR,8,CHEMBL203,12,,,,,,,,,median
820,1-NN,8,CHEMBL203,18,1.0,jaccard,,,,,,,
821,kNN,8,CHEMBL203,18,3.0,jaccard,,,,,,,
822,SVR,8,CHEMBL203,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
823,RFR,8,CHEMBL203,18,,,,,50.0,log2,2.0,1.0,
824,MR,8,CHEMBL203,18,,,,,,,,,median
825,1-NN,8,CHEMBL203,30,1.0,jaccard,,,,,,,
826,kNN,8,CHEMBL203,30,3.0,jaccard,,,,,,,
827,SVR,8,CHEMBL203,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
828,RFR,8,CHEMBL203,30,,,,,50.0,sqrt,10.0,1.0,
829,MR,8,CHEMBL203,30,,,,,,,,,median
830,1-NN,8,CHEMBL203,48,1.0,jaccard,,,,,,,
831,kNN,8,CHEMBL203,48,3.0,jaccard,,,,,,,
832,SVR,8,CHEMBL203,48,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
833,RFR,8,CHEMBL203,48,,,,,100.0,log2,3.0,1.0,
834,MR,8,CHEMBL203,48,,,,,,,,,median
835,1-NN,8,CHEMBL203,78,1.0,jaccard,,,,,,,
836,kNN,8,CHEMBL203,78,3.0,jaccard,,,,,,,
837,SVR,8,CHEMBL203,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
838,RFR,8,CHEMBL203,78,,,,,200.0,sqrt,2.0,1.0,
839,MR,8,CHEMBL203,78,,,,,,,,,median
840,1-NN,8,CHEMBL203,126,1.0,jaccard,,,,,,,
841,kNN,8,CHEMBL203,126,3.0,jaccard,,,,,,,
842,SVR,8,CHEMBL203,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
843,RFR,8,CHEMBL203,126,,,,,50.0,sqrt,3.0,1.0,
844,MR,8,CHEMBL203,126,,,,,,,,,median
845,1-NN,8,CHEMBL203,204,1.0,jaccard,,,,,,,
846,kNN,8,CHEMBL203,204,3.0,jaccard,,,,,,,
847,SVR,8,CHEMBL203,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
848,RFR,8,CHEMBL203,204,,,,,50.0,sqrt,2.0,1.0,
849,MR,8,CHEMBL203,204,,,,,,,,,median
850,1-NN,8,CHEMBL203,330,1.0,jaccard,,,,,,,
851,kNN,8,CHEMBL203,330,3.0,jaccard,,,,,,,
852,SVR,8,CHEMBL203,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
853,RFR,8,CHEMBL203,330,,,,,200.0,sqrt,2.0,1.0,
854,MR,8,CHEMBL203,330,,,,,,,,,median
855,1-NN,9,CHEMBL203,6,1.0,jaccard,,,,,,,
856,kNN,9,CHEMBL203,6,3.0,jaccard,,,,,,,
857,SVR,9,CHEMBL203,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
858,RFR,9,CHEMBL203,6,,,,,50.0,log2,2.0,1.0,
859,MR,9,CHEMBL203,6,,,,,,,,,median
860,1-NN,9,CHEMBL203,12,1.0,jaccard,,,,,,,
861,kNN,9,CHEMBL203,12,3.0,jaccard,,,,,,,
862,SVR,9,CHEMBL203,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
863,RFR,9,CHEMBL203,12,,,,,50.0,log2,3.0,1.0,
864,MR,9,CHEMBL203,12,,,,,,,,,median
865,1-NN,9,CHEMBL203,18,1.0,jaccard,,,,,,,
866,kNN,9,CHEMBL203,18,3.0,jaccard,,,,,,,
867,SVR,9,CHEMBL203,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
868,RFR,9,CHEMBL203,18,,,,,50.0,sqrt,2.0,5.0,
869,MR,9,CHEMBL203,18,,,,,,,,,median
870,1-NN,9,CHEMBL203,30,1.0,jaccard,,,,,,,
871,kNN,9,CHEMBL203,30,3.0,jaccard,,,,,,,
872,SVR,9,CHEMBL203,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
873,RFR,9,CHEMBL203,30,,,,,50.0,log2,2.0,1.0,
874,MR,9,CHEMBL203,30,,,,,,,,,median
875,1-NN,9,CHEMBL203,48,1.0,jaccard,,,,,,,
876,kNN,9,CHEMBL203,48,3.0,jaccard,,,,,,,
877,SVR,9,CHEMBL203,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
878,RFR,9,CHEMBL203,48,,,,,200.0,log2,2.0,1.0,
879,MR,9,CHEMBL203,48,,,,,,,,,median
880,1-NN,9,CHEMBL203,78,1.0,jaccard,,,,,,,
881,kNN,9,CHEMBL203,78,3.0,jaccard,,,,,,,
882,SVR,9,CHEMBL203,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
883,RFR,9,CHEMBL203,78,,,,,200.0,sqrt,2.0,1.0,
884,MR,9,CHEMBL203,78,,,,,,,,,median
885,1-NN,9,CHEMBL203,126,1.0,jaccard,,,,,,,
886,kNN,9,CHEMBL203,126,3.0,jaccard,,,,,,,
887,SVR,9,CHEMBL203,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
888,RFR,9,CHEMBL203,126,,,,,200.0,sqrt,2.0,1.0,
889,MR,9,CHEMBL203,126,,,,,,,,,median
890,1-NN,9,CHEMBL203,204,1.0,jaccard,,,,,,,
891,kNN,9,CHEMBL203,204,3.0,jaccard,,,,,,,
892,SVR,9,CHEMBL203,204,,,10000.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
893,RFR,9,CHEMBL203,204,,,,,100.0,sqrt,2.0,1.0,
894,MR,9,CHEMBL203,204,,,,,,,,,median
895,1-NN,9,CHEMBL203,330,1.0,jaccard,,,,,,,
896,kNN,9,CHEMBL203,330,3.0,jaccard,,,,,,,
897,SVR,9,CHEMBL203,330,,,100.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
898,RFR,9,CHEMBL203,330,,,,,200.0,sqrt,2.0,1.0,
899,MR,9,CHEMBL203,330,,,,,,,,,median
900,1-NN,0,CHEMBL2409,6,1.0,jaccard,,,,,,,
901,kNN,0,CHEMBL2409,6,3.0,jaccard,,,,,,,
902,SVR,0,CHEMBL2409,6,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
903,RFR,0,CHEMBL2409,6,,,,,50.0,log2,2.0,1.0,
904,MR,0,CHEMBL2409,6,,,,,,,,,median
905,1-NN,0,CHEMBL2409,12,1.0,jaccard,,,,,,,
906,kNN,0,CHEMBL2409,12,3.0,jaccard,,,,,,,
907,SVR,0,CHEMBL2409,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
908,RFR,0,CHEMBL2409,12,,,,,50.0,sqrt,5.0,2.0,
909,MR,0,CHEMBL2409,12,,,,,,,,,median
910,1-NN,0,CHEMBL2409,18,1.0,jaccard,,,,,,,
911,kNN,0,CHEMBL2409,18,3.0,jaccard,,,,,,,
912,SVR,0,CHEMBL2409,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
913,RFR,0,CHEMBL2409,18,,,,,50.0,sqrt,3.0,1.0,
914,MR,0,CHEMBL2409,18,,,,,,,,,median
915,1-NN,0,CHEMBL2409,30,1.0,jaccard,,,,,,,
916,kNN,0,CHEMBL2409,30,3.0,jaccard,,,,,,,
917,SVR,0,CHEMBL2409,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
918,RFR,0,CHEMBL2409,30,,,,,50.0,sqrt,2.0,1.0,
919,MR,0,CHEMBL2409,30,,,,,,,,,median
920,1-NN,0,CHEMBL2409,48,1.0,jaccard,,,,,,,
921,kNN,0,CHEMBL2409,48,3.0,jaccard,,,,,,,
922,SVR,0,CHEMBL2409,48,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
923,RFR,0,CHEMBL2409,48,,,,,100.0,sqrt,2.0,1.0,
924,MR,0,CHEMBL2409,48,,,,,,,,,median
925,1-NN,0,CHEMBL2409,78,1.0,jaccard,,,,,,,
926,kNN,0,CHEMBL2409,78,3.0,jaccard,,,,,,,
927,SVR,0,CHEMBL2409,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
928,RFR,0,CHEMBL2409,78,,,,,100.0,sqrt,2.0,1.0,
929,MR,0,CHEMBL2409,78,,,,,,,,,median
930,1-NN,0,CHEMBL2409,126,1.0,jaccard,,,,,,,
931,kNN,0,CHEMBL2409,126,3.0,jaccard,,,,,,,
932,SVR,0,CHEMBL2409,126,,,100.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
933,RFR,0,CHEMBL2409,126,,,,,100.0,sqrt,5.0,1.0,
934,MR,0,CHEMBL2409,126,,,,,,,,,median
935,1-NN,0,CHEMBL2409,204,1.0,jaccard,,,,,,,
936,kNN,0,CHEMBL2409,204,3.0,jaccard,,,,,,,
937,SVR,0,CHEMBL2409,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
938,RFR,0,CHEMBL2409,204,,,,,50.0,log2,2.0,1.0,
939,MR,0,CHEMBL2409,204,,,,,,,,,median
940,1-NN,0,CHEMBL2409,330,1.0,jaccard,,,,,,,
941,kNN,0,CHEMBL2409,330,3.0,jaccard,,,,,,,
942,SVR,0,CHEMBL2409,330,,,10000.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
943,RFR,0,CHEMBL2409,330,,,,,50.0,sqrt,3.0,1.0,
944,MR,0,CHEMBL2409,330,,,,,,,,,median
945,1-NN,1,CHEMBL2409,6,1.0,jaccard,,,,,,,
946,kNN,1,CHEMBL2409,6,3.0,jaccard,,,,,,,
947,SVR,1,CHEMBL2409,6,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
948,RFR,1,CHEMBL2409,6,,,,,200.0,sqrt,2.0,1.0,
949,MR,1,CHEMBL2409,6,,,,,,,,,median
950,1-NN,1,CHEMBL2409,12,1.0,jaccard,,,,,,,
951,kNN,1,CHEMBL2409,12,3.0,jaccard,,,,,,,
952,SVR,1,CHEMBL2409,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
953,RFR,1,CHEMBL2409,12,,,,,100.0,log2,2.0,1.0,
954,MR,1,CHEMBL2409,12,,,,,,,,,median
955,1-NN,1,CHEMBL2409,18,1.0,jaccard,,,,,,,
956,kNN,1,CHEMBL2409,18,3.0,jaccard,,,,,,,
957,SVR,1,CHEMBL2409,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
958,RFR,1,CHEMBL2409,18,,,,,50.0,sqrt,2.0,1.0,
959,MR,1,CHEMBL2409,18,,,,,,,,,median
960,1-NN,1,CHEMBL2409,30,1.0,jaccard,,,,,,,
961,kNN,1,CHEMBL2409,30,3.0,jaccard,,,,,,,
962,SVR,1,CHEMBL2409,30,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
963,RFR,1,CHEMBL2409,30,,,,,50.0,log2,5.0,1.0,
964,MR,1,CHEMBL2409,30,,,,,,,,,median
965,1-NN,1,CHEMBL2409,48,1.0,jaccard,,,,,,,
966,kNN,1,CHEMBL2409,48,3.0,jaccard,,,,,,,
967,SVR,1,CHEMBL2409,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
968,RFR,1,CHEMBL2409,48,,,,,200.0,sqrt,5.0,1.0,
969,MR,1,CHEMBL2409,48,,,,,,,,,median
970,1-NN,1,CHEMBL2409,78,1.0,jaccard,,,,,,,
971,kNN,1,CHEMBL2409,78,3.0,jaccard,,,,,,,
972,SVR,1,CHEMBL2409,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
973,RFR,1,CHEMBL2409,78,,,,,50.0,sqrt,3.0,1.0,
974,MR,1,CHEMBL2409,78,,,,,,,,,median
975,1-NN,1,CHEMBL2409,126,1.0,jaccard,,,,,,,
976,kNN,1,CHEMBL2409,126,3.0,jaccard,,,,,,,
977,SVR,1,CHEMBL2409,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
978,RFR,1,CHEMBL2409,126,,,,,100.0,sqrt,2.0,1.0,
979,MR,1,CHEMBL2409,126,,,,,,,,,median
980,1-NN,1,CHEMBL2409,204,1.0,jaccard,,,,,,,
981,kNN,1,CHEMBL2409,204,3.0,jaccard,,,,,,,
982,SVR,1,CHEMBL2409,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
983,RFR,1,CHEMBL2409,204,,,,,100.0,log2,2.0,1.0,
984,MR,1,CHEMBL2409,204,,,,,,,,,median
985,1-NN,1,CHEMBL2409,330,1.0,jaccard,,,,,,,
986,kNN,1,CHEMBL2409,330,3.0,jaccard,,,,,,,
987,SVR,1,CHEMBL2409,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
988,RFR,1,CHEMBL2409,330,,,,,50.0,sqrt,2.0,1.0,
989,MR,1,CHEMBL2409,330,,,,,,,,,median
990,1-NN,2,CHEMBL2409,6,1.0,jaccard,,,,,,,
991,kNN,2,CHEMBL2409,6,3.0,jaccard,,,,,,,
992,SVR,2,CHEMBL2409,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
993,RFR,2,CHEMBL2409,6,,,,,100.0,sqrt,2.0,2.0,
994,MR,2,CHEMBL2409,6,,,,,,,,,median
995,1-NN,2,CHEMBL2409,12,1.0,jaccard,,,,,,,
996,kNN,2,CHEMBL2409,12,3.0,jaccard,,,,,,,
997,SVR,2,CHEMBL2409,12,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
998,RFR,2,CHEMBL2409,12,,,,,100.0,sqrt,2.0,1.0,
999,MR,2,CHEMBL2409,12,,,,,,,,,median
1000,1-NN,2,CHEMBL2409,18,1.0,jaccard,,,,,,,
1001,kNN,2,CHEMBL2409,18,3.0,jaccard,,,,,,,
1002,SVR,2,CHEMBL2409,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1003,RFR,2,CHEMBL2409,18,,,,,200.0,sqrt,5.0,1.0,
1004,MR,2,CHEMBL2409,18,,,,,,,,,median
1005,1-NN,2,CHEMBL2409,30,1.0,jaccard,,,,,,,
1006,kNN,2,CHEMBL2409,30,3.0,jaccard,,,,,,,
1007,SVR,2,CHEMBL2409,30,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1008,RFR,2,CHEMBL2409,30,,,,,200.0,sqrt,2.0,1.0,
1009,MR,2,CHEMBL2409,30,,,,,,,,,median
1010,1-NN,2,CHEMBL2409,48,1.0,jaccard,,,,,,,
1011,kNN,2,CHEMBL2409,48,3.0,jaccard,,,,,,,
1012,SVR,2,CHEMBL2409,48,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1013,RFR,2,CHEMBL2409,48,,,,,50.0,sqrt,3.0,1.0,
1014,MR,2,CHEMBL2409,48,,,,,,,,,median
1015,1-NN,2,CHEMBL2409,78,1.0,jaccard,,,,,,,
1016,kNN,2,CHEMBL2409,78,3.0,jaccard,,,,,,,
1017,SVR,2,CHEMBL2409,78,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1018,RFR,2,CHEMBL2409,78,,,,,200.0,sqrt,3.0,1.0,
1019,MR,2,CHEMBL2409,78,,,,,,,,,median
1020,1-NN,2,CHEMBL2409,126,1.0,jaccard,,,,,,,
1021,kNN,2,CHEMBL2409,126,3.0,jaccard,,,,,,,
1022,SVR,2,CHEMBL2409,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1023,RFR,2,CHEMBL2409,126,,,,,200.0,sqrt,2.0,1.0,
1024,MR,2,CHEMBL2409,126,,,,,,,,,median
1025,1-NN,2,CHEMBL2409,204,1.0,jaccard,,,,,,,
1026,kNN,2,CHEMBL2409,204,3.0,jaccard,,,,,,,
1027,SVR,2,CHEMBL2409,204,,,10000.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1028,RFR,2,CHEMBL2409,204,,,,,100.0,sqrt,5.0,2.0,
1029,MR,2,CHEMBL2409,204,,,,,,,,,median
1030,1-NN,2,CHEMBL2409,330,1.0,jaccard,,,,,,,
1031,kNN,2,CHEMBL2409,330,3.0,jaccard,,,,,,,
1032,SVR,2,CHEMBL2409,330,,,100.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1033,RFR,2,CHEMBL2409,330,,,,,50.0,sqrt,2.0,1.0,
1034,MR,2,CHEMBL2409,330,,,,,,,,,median
1035,1-NN,3,CHEMBL2409,6,1.0,jaccard,,,,,,,
1036,kNN,3,CHEMBL2409,6,3.0,jaccard,,,,,,,
1037,SVR,3,CHEMBL2409,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1038,RFR,3,CHEMBL2409,6,,,,,50.0,sqrt,2.0,1.0,
1039,MR,3,CHEMBL2409,6,,,,,,,,,median
1040,1-NN,3,CHEMBL2409,12,1.0,jaccard,,,,,,,
1041,kNN,3,CHEMBL2409,12,3.0,jaccard,,,,,,,
1042,SVR,3,CHEMBL2409,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1043,RFR,3,CHEMBL2409,12,,,,,100.0,sqrt,3.0,1.0,
1044,MR,3,CHEMBL2409,12,,,,,,,,,median
1045,1-NN,3,CHEMBL2409,18,1.0,jaccard,,,,,,,
1046,kNN,3,CHEMBL2409,18,3.0,jaccard,,,,,,,
1047,SVR,3,CHEMBL2409,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1048,RFR,3,CHEMBL2409,18,,,,,200.0,sqrt,2.0,2.0,
1049,MR,3,CHEMBL2409,18,,,,,,,,,median
1050,1-NN,3,CHEMBL2409,30,1.0,jaccard,,,,,,,
1051,kNN,3,CHEMBL2409,30,3.0,jaccard,,,,,,,
1052,SVR,3,CHEMBL2409,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1053,RFR,3,CHEMBL2409,30,,,,,50.0,sqrt,5.0,1.0,
1054,MR,3,CHEMBL2409,30,,,,,,,,,median
1055,1-NN,3,CHEMBL2409,48,1.0,jaccard,,,,,,,
1056,kNN,3,CHEMBL2409,48,3.0,jaccard,,,,,,,
1057,SVR,3,CHEMBL2409,48,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1058,RFR,3,CHEMBL2409,48,,,,,100.0,sqrt,10.0,2.0,
1059,MR,3,CHEMBL2409,48,,,,,,,,,median
1060,1-NN,3,CHEMBL2409,78,1.0,jaccard,,,,,,,
1061,kNN,3,CHEMBL2409,78,3.0,jaccard,,,,,,,
1062,SVR,3,CHEMBL2409,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1063,RFR,3,CHEMBL2409,78,,,,,200.0,log2,2.0,1.0,
1064,MR,3,CHEMBL2409,78,,,,,,,,,median
1065,1-NN,3,CHEMBL2409,126,1.0,jaccard,,,,,,,
1066,kNN,3,CHEMBL2409,126,3.0,jaccard,,,,,,,
1067,SVR,3,CHEMBL2409,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1068,RFR,3,CHEMBL2409,126,,,,,50.0,sqrt,5.0,1.0,
1069,MR,3,CHEMBL2409,126,,,,,,,,,median
1070,1-NN,3,CHEMBL2409,204,1.0,jaccard,,,,,,,
1071,kNN,3,CHEMBL2409,204,3.0,jaccard,,,,,,,
