,model,trial,Target ID,Training size,n_neighbors,metric,C,kernel,n_estimators,max_features,min_samples_split,min_samples_leaf,strategy
168,RFR,3,CHEMBL280,126,,,,,50.0,log2,2.0,1.0,
169,MR,3,CHEMBL280,126,,,,,,,,,median
170,1-NN,3,CHEMBL280,204,1.0,jaccard,,,,,,,
171,kNN,3,CHEMBL280,204,3.0,jaccard,,,,,,,
172,SVR,3,CHEMBL280,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
173,RFR,3,CHEMBL280,204,,,,,100.0,sqrt,2.0,1.0,
174,MR,3,CHEMBL280,204,,,,,,,,,median
175,1-NN,3,CHEMBL280,330,1.0,jaccard,,,,,,,
176,kNN,3,CHEMBL280,330,3.0,jaccard,,,,,,,
177,SVR,3,CHEMBL280,330,,,10000.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
178,RFR,3,CHEMBL280,330,,,,,100.0,sqrt,2.0,1.0,
179,MR,3,CHEMBL280,330,,,,,,,,,median
180,1-NN,4,CHEMBL280,6,1.0,jaccard,,,,,,,
181,kNN,4,CHEMBL280,6,3.0,jaccard,,,,,,,
182,SVR,4,CHEMBL280,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
183,RFR,4,CHEMBL280,6,,,,,50.0,sqrt,2.0,2.0,
184,MR,4,CHEMBL280,6,,,,,,,,,median
185,1-NN,4,CHEMBL280,12,1.0,jaccard,,,,,,,
186,kNN,4,CHEMBL280,12,3.0,jaccard,,,,,,,
187,SVR,4,CHEMBL280,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
188,RFR,4,CHEMBL280,12,,,,,50.0,log2,3.0,1.0,
189,MR,4,CHEMBL280,12,,,,,,,,,median
190,1-NN,4,CHEMBL280,18,1.0,jaccard,,,,,,,
191,kNN,4,CHEMBL280,18,3.0,jaccard,,,,,,,
192,SVR,4,CHEMBL280,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
193,RFR,4,CHEMBL280,18,,,,,50.0,sqrt,2.0,1.0,
194,MR,4,CHEMBL280,18,,,,,,,,,median
195,1-NN,4,CHEMBL280,30,1.0,jaccard,,,,,,,
196,kNN,4,CHEMBL280,30,3.0,jaccard,,,,,,,
197,SVR,4,CHEMBL280,30,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
198,RFR,4,CHEMBL280,30,,,,,200.0,log2,3.0,1.0,
199,MR,4,CHEMBL280,30,,,,,,,,,median
200,1-NN,4,CHEMBL280,48,1.0,jaccard,,,,,,,
201,kNN,4,CHEMBL280,48,3.0,jaccard,,,,,,,
202,SVR,4,CHEMBL280,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
203,RFR,4,CHEMBL280,48,,,,,200.0,log2,2.0,1.0,
204,MR,4,CHEMBL280,48,,,,,,,,,median
205,1-NN,4,CHEMBL280,78,1.0,jaccard,,,,,,,
206,kNN,4,CHEMBL280,78,3.0,jaccard,,,,,,,
207,SVR,4,CHEMBL280,78,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
208,RFR,4,CHEMBL280,78,,,,,200.0,sqrt,5.0,1.0,
209,MR,4,CHEMBL280,78,,,,,,,,,median
210,1-NN,4,CHEMBL280,126,1.0,jaccard,,,,,,,
211,kNN,4,CHEMBL280,126,3.0,jaccard,,,,,,,
212,SVR,4,CHEMBL280,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
213,RFR,4,CHEMBL280,126,,,,,100.0,log2,2.0,1.0,
214,MR,4,CHEMBL280,126,,,,,,,,,median
215,1-NN,4,CHEMBL280,204,1.0,jaccard,,,,,,,
216,kNN,4,CHEMBL280,204,3.0,jaccard,,,,,,,
217,SVR,4,CHEMBL280,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
218,RFR,4,CHEMBL280,204,,,,,50.0,sqrt,2.0,1.0,
219,MR,4,CHEMBL280,204,,,,,,,,,median
220,1-NN,4,CHEMBL280,330,1.0,jaccard,,,,,,,
221,kNN,4,CHEMBL280,330,3.0,jaccard,,,,,,,
222,SVR,4,CHEMBL280,330,,,100.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
223,RFR,4,CHEMBL280,330,,,,,200.0,sqrt,2.0,1.0,
224,MR,4,CHEMBL280,330,,,,,,,,,median
225,1-NN,5,CHEMBL280,6,1.0,jaccard,,,,,,,
226,kNN,5,CHEMBL280,6,3.0,jaccard,,,,,,,
227,SVR,5,CHEMBL280,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
228,RFR,5,CHEMBL280,6,,,,,50.0,log2,2.0,1.0,
229,MR,5,CHEMBL280,6,,,,,,,,,median
